Salle,Date,Nom,Description,Valeur
Secreteriat,"11-01-2023 23:41:18",temp,,20.2
Secreteriat,"11-01-2023 23:26:14",co2,,400
Secreteriat,"11-01-2023 23:26:14",hum,,66.6
Secreteriat,"11-01-2023 23:26:14",temp,,20.2
Secreteriat,"11-01-2023 23:11:10",co2,,400
Secreteriat,"11-01-2023 23:11:10",hum,,66.6
Secreteriat,"11-01-2023 23:11:10",temp,,20.2
Secreteriat,"11-01-2023 22:56:07",co2,,415
Secreteriat,"11-01-2023 22:56:07",hum,,66.6
Secreteriat,"11-01-2023 22:56:07",temp,,20.2
Secreteriat,"11-01-2023 22:41:02",co2,,417
Secreteriat,"11-01-2023 22:41:02",hum,,66.6
Secreteriat,"11-01-2023 22:41:02",temp,,20.3
Secreteriat,"11-01-2023 22:25:58",co2,,438
Secreteriat,"11-01-2023 22:25:58",hum,,66.6
Secreteriat,"11-01-2023 22:25:58",temp,,20.3
Secreteriat,"11-01-2023 22:10:54",co2,,439
Secreteriat,"11-01-2023 22:10:54",hum,,66.6
Secreteriat,"11-01-2023 22:10:54",temp,,20.4
Secreteriat,"11-01-2023 21:55:50",co2,,450
Secreteriat,"11-01-2023 21:55:50",hum,,66.7
Secreteriat,"11-01-2023 21:55:50",temp,,20.4
Secreteriat,"11-01-2023 21:40:46",co2,,449
Secreteriat,"11-01-2023 21:40:46",hum,,66.7
Secreteriat,"11-01-2023 21:40:46",temp,,20.4
Secreteriat,"11-01-2023 21:25:42",co2,,466
Secreteriat,"11-01-2023 21:25:42",hum,,66.7
Secreteriat,"11-01-2023 21:25:42",temp,,20.4
Secreteriat,"11-01-2023 21:10:38",co2,,476
Secreteriat,"11-01-2023 21:10:38",hum,,66.7
Secreteriat,"11-01-2023 21:10:38",temp,,20.5
Secreteriat,"11-01-2023 20:55:34",co2,,486
Secreteriat,"11-01-2023 20:55:34",hum,,66.7
Secreteriat,"11-01-2023 20:55:34",temp,,20.5
Secreteriat,"11-01-2023 20:40:30",co2,,483
Secreteriat,"11-01-2023 20:40:30",hum,,66.7
Secreteriat,"11-01-2023 20:40:30",temp,,20.6
Secreteriat,"11-01-2023 20:25:26",co2,,498
Secreteriat,"11-01-2023 20:25:26",hum,,66.7
Secreteriat,"11-01-2023 20:25:26",temp,,20.6
Secreteriat,"11-01-2023 20:10:22",co2,,513
Secreteriat,"11-01-2023 20:10:22",hum,,66.6
Secreteriat,"11-01-2023 20:10:22",temp,,20.7
Secreteriat,"11-01-2023 19:55:18",co2,,519
Secreteriat,"11-01-2023 19:55:18",hum,,65.4
Secreteriat,"11-01-2023 19:55:18",temp,,20.8
Secreteriat,"11-01-2023 19:40:14",co2,,530
Secreteriat,"11-01-2023 19:40:14",hum,,66.3
Secreteriat,"11-01-2023 19:40:14",temp,,20.8
Secreteriat,"11-01-2023 19:25:09",co2,,523
Secreteriat,"11-01-2023 19:25:09",hum,,66
Secreteriat,"11-01-2023 19:25:09",temp,,20.9
Secreteriat,"11-01-2023 19:10:05",co2,,538
Secreteriat,"11-01-2023 19:10:05",hum,,65.8
Secreteriat,"11-01-2023 19:10:05",temp,,21.1
Secreteriat,"11-01-2023 18:55:01",co2,,542
Secreteriat,"11-01-2023 18:55:01",hum,,65.4
Secreteriat,"11-01-2023 18:55:01",temp,,21.2
Secreteriat,"11-01-2023 18:39:57",co2,,559
Secreteriat,"11-01-2023 18:39:57",hum,,65
Secreteriat,"11-01-2023 18:39:57",temp,,21.4
Secreteriat,"11-01-2023 18:24:53",co2,,564
Secreteriat,"11-01-2023 18:24:53",hum,,64.3
Secreteriat,"11-01-2023 18:24:53",temp,,21.6
Secreteriat,"11-01-2023 18:09:49",co2,,583
Secreteriat,"11-01-2023 18:09:49",hum,,63.2
Secreteriat,"11-01-2023 18:09:49",temp,,21.9
Secreteriat,"11-01-2023 17:54:45",co2,,551
Secreteriat,"11-01-2023 17:54:45",hum,,61.1
Secreteriat,"11-01-2023 17:54:45",temp,,22.4
Secreteriat,"11-01-2023 17:39:41",co2,,593
Secreteriat,"11-01-2023 17:39:41",hum,,60.3
Secreteriat,"11-01-2023 17:39:41",temp,,22.7
Secreteriat,"11-01-2023 17:24:37",co2,,576
Secreteriat,"11-01-2023 17:24:37",hum,,60.6
Secreteriat,"11-01-2023 17:24:37",temp,,22.7
Secreteriat,"11-01-2023 17:09:33",co2,,583
Secreteriat,"11-01-2023 17:09:33",hum,,60.6
