Salle,Date,Nom,Description,Valeur
D205,"17-01-2023 15:02:21",hum,,47
D205,"17-01-2023 15:02:20",co2,,400
D205,"17-01-2023 14:47:20",temp,,20.8
D205,"17-01-2023 14:47:20",hum,,47
D205,"17-01-2023 14:47:20",co2,,400
D205,"17-01-2023 14:32:20",temp,,20.8
D205,"17-01-2023 14:32:19",hum,,47
D205,"17-01-2023 14:32:19",co2,,400
D205,"17-01-2023 14:17:19",temp,,20.8
D205,"17-01-2023 14:17:19",hum,,47
D205,"17-01-2023 14:17:19",co2,,400
D205,"17-01-2023 14:02:18",temp,,20.8
D205,"17-01-2023 14:02:18",hum,,47
D205,"17-01-2023 14:02:18",co2,,400
D205,"17-01-2023 13:47:18",temp,,22
D205,"17-01-2023 13:47:17",hum,,47.2
D205,"17-01-2023 13:47:17",co2,,400
D205,"17-01-2023 13:32:17",temp,,22
D205,"17-01-2023 13:32:17",hum,,47.2
D205,"17-01-2023 13:32:17",co2,,400
D205,"17-01-2023 13:17:16",temp,,22
D205,"17-01-2023 13:17:16",hum,,47.2
D205,"17-01-2023 13:17:16",co2,,400
D205,"17-01-2023 13:02:16",temp,,22
D205,"17-01-2023 13:02:15",hum,,47.2
D205,"17-01-2023 13:02:15",co2,,400
D205,"17-01-2023 12:47:15",temp,,22
D205,"17-01-2023 12:47:15",hum,,47.2
D205,"17-01-2023 12:47:15",co2,,400
D205,"17-01-2023 12:32:15",temp,,22
D205,"17-01-2023 12:32:14",hum,,47.2
D205,"17-01-2023 12:32:14",co2,,400
D205,"17-01-2023 12:17:14",temp,,22
D205,"17-01-2023 12:17:14",hum,,47.2
D205,"17-01-2023 12:17:14",co2,,400
D205,"17-01-2023 12:02:14",temp,,22
D205,"17-01-2023 12:02:13",hum,,47.2
D205,"17-01-2023 12:02:13",co2,,400
D205,"17-01-2023 11:47:13",temp,,22
D205,"17-01-2023 11:47:13",hum,,47.2
D205,"17-01-2023 11:47:13",co2,,400
D205,"17-01-2023 11:32:12",temp,,22
D205,"17-01-2023 11:32:12",hum,,47.2
D205,"17-01-2023 11:32:12",co2,,400
D205,"17-01-2023 11:17:12",temp,,22
D205,"17-01-2023 11:17:11",hum,,47.2
D205,"17-01-2023 11:17:11",co2,,400
D205,"17-01-2023 11:02:11",temp,,18.1
D205,"17-01-2023 11:02:11",hum,,52.1
D205,"17-01-2023 11:02:10",co2,,400
D205,"17-01-2023 10:47:10",temp,,18.1
D205,"17-01-2023 10:47:10",hum,,52.1
D205,"17-01-2023 10:47:10",co2,,400
D205,"17-01-2023 10:32:10",temp,,18.1
D205,"17-01-2023 10:32:10",hum,,52.1
D205,"17-01-2023 10:32:09",co2,,400
D205,"17-01-2023 10:17:09",temp,,18.1
D205,"17-01-2023 10:17:09",hum,,52.1
D205,"17-01-2023 10:17:09",co2,,400
D205,"17-01-2023 10:02:09",temp,,18.1
D205,"17-01-2023 10:02:08",hum,,52.1
D205,"17-01-2023 10:02:08",co2,,400
D205,"17-01-2023 09:47:08",temp,,18.1
D205,"17-01-2023 09:47:08",hum,,52.1
D205,"17-01-2023 09:47:08",co2,,400
D205,"17-01-2023 09:32:07",temp,,18.1
D205,"17-01-2023 09:32:07",hum,,52.1
D205,"17-01-2023 09:32:07",co2,,400
D205,"17-01-2023 09:17:07",temp,,18.1
D205,"17-01-2023 09:17:07",hum,,52.1
D205,"17-01-2023 09:17:07",co2,,400
D205,"17-01-2023 09:02:06",temp,,18.1
D205,"17-01-2023 09:02:06",hum,,52.1
D205,"17-01-2023 09:02:06",co2,,400
D205,"17-01-2023 08:47:06",temp,,18.1
D205,"17-01-2023 08:47:06",hum,,52.1
D205,"17-01-2023 08:47:06",co2,,400
D205,"17-01-2023 08:32:05",temp,,18.1
D205,"17-01-2023 08:32:05",hum,,52.1
D205,"17-01-2023 08:32:05",co2,,400
D205,"17-01-2023 08:17:05",temp,,18.1
D205,"17-01-2023 08:17:05",hum,,52.1
D205,"17-01-2023 08:17:05",co2,,400
D205,"17-01-2023 08:02:04",temp,,18.1
D205,"17-01-2023 08:02:04",hum,,52.1
D205,"17-01-2023 08:02:04",co2,,400
D205,"17-01-2023 07:47:04",temp,,18.1
D205,"17-01-2023 07:47:04",hum,,52.1
D205,"17-01-2023 07:47:04",co2,,400
D205,"17-01-2023 07:32:03",temp,,18.1
D205,"17-01-2023 07:32:03",hum,,52.1
D205,"17-01-2023 07:32:03",co2,,400
D205,"17-01-2023 07:17:03",temp,,18.1
D205,"17-01-2023 07:17:03",hum,,52.1
D205,"17-01-2023 07:17:03",co2,,400
D205,"17-01-2023 07:02:02",temp,,18.1
D205,"17-01-2023 07:02:02",hum,,52.1
D205,"17-01-2023 07:02:02",co2,,400
D205,"17-01-2023 06:47:02",temp,,18
D205,"17-01-2023 06:47:02",hum,,50.9
D205,"17-01-2023 06:47:02",co2,,400
D205,"17-01-2023 06:32:01",temp,,18
D205,"17-01-2023 06:32:01",hum,,50.9
D205,"17-01-2023 06:32:01",co2,,400
D205,"17-01-2023 06:17:01",temp,,18
D205,"17-01-2023 06:17:01",hum,,50.9
D205,"17-01-2023 06:17:01",co2,,400
D205,"17-01-2023 06:02:01",temp,,18
D205,"17-01-2023 06:02:00",hum,,50.9
D205,"17-01-2023 06:02:00",co2,,400
D205,"17-01-2023 05:47:00",temp,,18
D205,"17-01-2023 05:47:00",hum,,50.9
D205,"17-01-2023 05:47:00",co2,,400
D205,"17-01-2023 05:32:00",temp,,18
D205,"17-01-2023 05:32:00",hum,,50.9
D205,"17-01-2023 05:31:59",co2,,400
D205,"17-01-2023 05:16:59",temp,,18
D205,"17-01-2023 05:16:59",hum,,50.9
D205,"17-01-2023 05:16:59",co2,,400
D205,"17-01-2023 05:01:59",temp,,18.1
D205,"17-01-2023 05:01:59",hum,,50.8
D205,"17-01-2023 05:01:58",co2,,400
D205,"17-01-2023 04:46:58",temp,,18.1
D205,"17-01-2023 04:46:58",hum,,50.8
D205,"17-01-2023 04:46:58",co2,,400
D205,"17-01-2023 04:31:58",temp,,18.1
D205,"17-01-2023 04:31:58",hum,,50.8
D205,"17-01-2023 04:31:58",co2,,400
D205,"17-01-2023 04:16:57",temp,,18.1
D205,"17-01-2023 04:16:57",hum,,50.8
D205,"17-01-2023 04:16:57",co2,,400
D205,"17-01-2023 04:01:57",temp,,18.1
D205,"17-01-2023 04:01:57",hum,,50.8
D205,"17-01-2023 04:01:57",co2,,400
D205,"17-01-2023 03:46:56",temp,,18.1
D205,"17-01-2023 03:46:56",hum,,50.8
D205,"17-01-2023 03:46:56",co2,,400
D205,"17-01-2023 03:31:56",temp,,18.1
D205,"17-01-2023 03:31:56",hum,,50.8
D205,"17-01-2023 03:31:55",co2,,400
D205,"17-01-2023 03:16:55",temp,,18.4
D205,"17-01-2023 03:16:55",hum,,51.9
D205,"17-01-2023 03:16:55",co2,,400
D205,"17-01-2023 03:01:55",temp,,18.4
D205,"17-01-2023 03:01:55",hum,,51.9
D205,"17-01-2023 03:01:55",co2,,400
D205,"17-01-2023 02:46:54",temp,,18.4
D205,"17-01-2023 02:46:54",hum,,51.9
D205,"17-01-2023 02:46:54",co2,,400
D205,"17-01-2023 02:31:54",temp,,18.4
D205,"17-01-2023 02:31:54",hum,,51.9
D205,"17-01-2023 02:31:54",co2,,400
D205,"17-01-2023 02:16:53",temp,,18.4
D205,"17-01-2023 02:16:53",hum,,51.9
D205,"17-01-2023 02:16:53",co2,,400
D205,"17-01-2023 02:01:53",temp,,18.4
D205,"17-01-2023 02:01:53",hum,,51.9
D205,"17-01-2023 02:01:53",co2,,400
D205,"17-01-2023 01:46:52",temp,,18.4
D205,"17-01-2023 01:46:52",hum,,51.9
D205,"17-01-2023 01:46:52",co2,,400
D205,"17-01-2023 01:31:52",temp,,18.4
D205,"17-01-2023 01:31:52",hum,,51.9
D205,"17-01-2023 01:31:52",co2,,400
